Large Batch Optimization for Deep Learning: Training BERT in 76 minutes,"

Yang You
, 
Jing Li
, 
Sashank Reddi
, 
Jonathan Hseu
, 
Sanjiv Kumar
, 
Srinadh Bhojanapalli
, 
Xiaodan Song
, 
James Demmel
, 
Kurt Keutzer
, 
Cho-Jui Hsieh

","large-batch optimization
distributed training
fast optimizer",A fast optimizer for general applications and large-batch training.
Unpaired Point Cloud Completion on Real Scans using Adversarial Training,"

Xuelin Chen
, 
Baoquan Chen
, 
Niloy J. Mitra

","point cloud completion
generative adversarial network
real scans",
Adjustable Real-time Style Transfer,"

Mohammad Babaeizadeh
, 
Golnaz Ghiasi

","Image Style Transfer
Deep Learning",Stochastic style transfer with adjustable features. 
Stochastic Weight Averaging in Parallel: Large-Batch Training That Generalizes Well,"

Vipul Gupta
, 
Santiago Akle Serrano
, 
Dennis DeCoste

","Large batch training
Distributed neural network training
Stochastic Weight Averaging","We propose SWAP, a distributed algorithm for large-batch training of neural networks."
Short and Sparse Deconvolution --- A Geometric Approach,"

Yenson Lau
, 
Qing Qu
, 
Han-Wen Kuo
, 
Pengcheng Zhou
, 
Yuqian Zhang
, 
John Wright

",,
Selection via Proxy: Efficient Data Selection for Deep Learning,"

Cody Coleman
, 
Christopher Yeh
, 
Stephen Mussmann
, 
Baharan Mirzasoleiman
, 
Peter Bailis
, 
Percy Liang
, 
Jure Leskovec
, 
Matei Zaharia

","data selection
active-learning
core-set selection
deep learning
uncertainty sampling",we can significantly improve the computational efficiency of data selection in deep learning by using a much smaller proxy model to perform data selection.
Global Relational Models of Source Code,"

Vincent J. Hellendoorn
, 
Charles Sutton
, 
Rishabh Singh
, 
Petros Maniatis
, 
David Bieber

","Models of Source Code
Graph Neural Networks
Structured Learning",Models of source code that combine global and structural features learn more powerful representations of programs.
Detecting Extrapolation with Local Ensembles,"

David Madras
, 
James Atwood
, 
Alexander D'Amour

","extrapolation
reliability
influence functions
laplace approximation
ensembles
Rashomon set","We present local ensembles, a method for detecting extrapolation in trained models, which approximates the variance of an ensemble using local-second order information."
Learning to Link,"

Maria-Florina Balcan
, 
Travis Dick
, 
Manuel Lang

","Data-driven Algorithm Configuration
Metric Learning
Linkage Clustering
Learning Algorithms",We show how to use data to automatically learn low-loss linkage procedures and metrics for specific clustering applications.
Adversarially robust transfer learning,"

Ali Shafahi
, 
Parsa Saadatpanah
, 
Chen Zhu
, 
Amin Ghiasi
, 
Christoph Studer
, 
David Jacobs
, 
Tom Goldstein

",,Robust models have robust feature extractors which can be useful for transferring robustness to other domains
Overlearning Reveals Sensitive Attributes,"

Congzheng Song
, 
Vitaly Shmatikov

","privacy
censoring representation
transfer learning","Overlearning means that a model trained for a seemingly simple objective implicitly learns to recognize attributes and concepts that are (1) not part of the learning objective, and (2) sensitive from a privacy or bias perspective."
Bridging Mode Connectivity in Loss Landscapes and Adversarial Robustness,"

Pu Zhao
, 
Pin-Yu Chen
, 
Payel Das
, 
Karthikeyan Natesan Ramamurthy
, 
Xue Lin

","mode connectivity
adversarial robustness
backdoor attack
error-injection attack
evasion attacks
loss landscapes","A novel approach using mode connectivity in loss landscapes to mitigate adversarial effects, repair tampered models, and evaluate adversarial robustness"
Differentially Private Meta-Learning,"

Jeffrey Li
, 
Mikhail Khodak
, 
Sebastian Caldas
, 
Ameet Talwalkar

","Differential Privacy
Meta-Learning
Federated Learning",
One-Shot Pruning of Recurrent Neural Networks by Jacobian Spectrum Evaluation,"

Shunshi Zhang
, 
Bradly C. Stadie

","Pruning
RNNs
Sparsity",New Objective for One-Shot Pruning Recurrent Neural Networks
Meta-Dataset: A Dataset of Datasets for Learning to Learn from Few Examples,"

Eleni Triantafillou
, 
Tyler Zhu
, 
Vincent Dumoulin
, 
Pascal Lamblin
, 
Utku Evci
, 
Kelvin Xu
, 
Ross Goroshin
, 
Carles Gelada
, 
Kevin Swersky
, 
Pierre-Antoine Manzagol
, 
Hugo Larochelle

","few-shot learning
meta-learning
few-shot classification","We propose a new large-scale diverse environment for few-shot learning, and evaluate popular models' performance on it, revealing important research challenges."
Are Transformers universal approximators of sequence-to-sequence functions?,"

Chulhee Yun
, 
Srinadh Bhojanapalli
, 
Ankit Singh Rawat
, 
Sashank Reddi
, 
Sanjiv Kumar

","Transformer
universal approximation
contextual mapping
expressive power
permutation equivariance",We prove that Transformer networks are universal approximators of sequence-to-sequence functions.
Pre-training Tasks for Embedding-based Large-scale Retrieval,"

Wei-Cheng Chang
, 
Felix X. Yu
, 
Yin-Wen Chang
, 
Yiming Yang
, 
Sanjiv Kumar

","natural language processing
large-scale retrieval
unsupervised representation learning
paragraph-level pre-training
two-tower Transformer models",We consider large-scale retrieval problems such as question answering retrieval and present a comprehensive study of how different sentence level pre-training improving the BERT-style token-level pre-training for two-tower Transformer models.
"Deep Imitative Models for Flexible Inference, Planning, and Control","

Nicholas Rhinehart
, 
Rowan McAllister
, 
Sergey Levine

","imitation learning
planning
autonomous driving","In this paper, we propose Imitative Models to combine the benefits of IL and goal-directed planning: probabilistic predictive models of desirable behavior able to plan interpretable expert-like trajectories to achieve specified goals."
CM3: Cooperative Multi-goal Multi-stage Multi-agent Reinforcement Learning,"

Jiachen Yang
, 
Alireza Nakhaei
, 
David Isele
, 
Kikuo Fujimura
, 
Hongyuan Zha

",multi-agent reinforcement learning,"A modular method for fully cooperative multi-goal multi-agent reinforcement learning, based on curriculum learning for efficient exploration and credit assignment for action-goal interactions."
Robust And Interpretable Blind Image Denoising Via Bias-Free Convolutional Neural Networks,"

Sreyas Mohan
, 
Zahra Kadkhodaie
, 
Eero P. Simoncelli
, 
Carlos Fernandez-Granda

","denoising
overfitting
generalization
robustness
interpretability
analysis of neural networks","We show that removing constant terms from CNN architectures ensures strong generalization across noise levels, and also provides interpretability of the denoising method via linear-algebra techniques."
Towards Better Understanding of Adaptive Gradient Algorithms in Generative Adversarial Nets,"

Mingrui Liu
, 
Youssef Mroueh
, 
Jerret Ross
, 
Wei Zhang
, 
Xiaodong Cui
, 
Payel Das
, 
Tianbao Yang

","Generative Adversarial Nets
Adaptive Gradient Algorithms","This paper provides novel analysis of adaptive gradient algorithms for solving non-convex non-concave min-max problems as GANs, and explains the reason why adaptive gradient methods outperform its non-adaptive counterparts by empirical studies."
DeepV2D: Video to Depth with Differentiable Structure from Motion,"

Zachary Teed
, 
Jia Deng

","Structure-from-Motion
Video to Depth
Dense Depth Estimation",DeepV2D predicts depth from a video clip by composing elements of classical SfM into a fully differentiable network.
Learning Space Partitions for Nearest Neighbor Search,"

Yihe Dong
, 
Piotr Indyk
, 
Ilya Razenshteyn
, 
Tal Wagner

","space partition
lsh
locality sensitive hashing
nearest neighbor search",We use supervised learning (and in particular deep learning) to produce better space partitions for fast nearest neighbor search.
Playing the lottery with rewards and multiple languages: lottery tickets in RL and NLP,"

Haonan Yu
, 
Sergey Edunov
, 
Yuandong Tian
, 
Ari S. Morcos

","lottery tickets
nlp
transformer
rl
reinforcement learning","We find that the lottery ticket phenomenon is present in both NLP and RL, and find that it can be used to train compressed Transformers to high performance"
Sign-OPT: A Query-Efficient Hard-label Adversarial Attack,"

Minhao Cheng
, 
Simranjit Singh
, 
Patrick H. Chen
, 
Pin-Yu Chen
, 
Sijia Liu
, 
Cho-Jui Hsieh

",,
RaCT: Toward Amortized Ranking-Critical Training For Collaborative Filtering,"

Sam Lobel*
, 
Chunyuan Li*
, 
Jianfeng Gao
, 
Lawrence Carin

","Collaborative Filtering
Recommender Systems
Actor-Critic
Learned Metrics","We apply the actor-critic methodology from reinforcement learning to collaborative filtering, resulting in improved performance across a variety of latent-variable models"
Intrinsic Motivation for Encouraging Synergistic Behavior,"

Rohan Chitnis
, 
Shubham Tulsiani
, 
Saurabh Gupta
, 
Abhinav Gupta

","reinforcement learning
intrinsic motivation
synergistic
robot manipulation","We propose a formulation of intrinsic motivation that is suitable as an exploration bias in synergistic multi-agent tasks, by encouraging agents to affect the world in ways that would not be achieved if they were acting individually."
Chameleon: Adaptive Code Optimization for Expedited Deep Neural Network Compilation,"

Byung Hoon Ahn
, 
Prannoy Pilligundla
, 
Amir Yazdanbakhsh
, 
Hadi Esmaeilzadeh

","Reinforcement Learning
Learning to Optimize
Combinatorial Optimization
Compilers
Code Optimization
Neural Networks
ML for Systems
Learning for Systems",Reinforcement Learning and Adaptive Sampling for Optimized Compilation of Deep Neural Networks.
Recurrent neural circuits for contour detection,"

Drew Linsley*
, 
Junkyung Kim*
, 
Alekh Ashok
, 
Thomas Serre

","Contextual illusions
visual cortex
recurrent feedback
neural circuits","Contextual illusions are a feature, not a bug, of neural routines optimized for contour detection."
Locality and Compositionality in Zero-Shot Learning,"

Tristan Sylvain
, 
Linda Petrini
, 
Devon Hjelm

","Zero-shot learning
Compositionality
Locality
Deep Learning",An analysis of the effects of compositionality and locality on representation learning for zero-shot learning.
Understanding Knowledge Distillation in Non-autoregressive Machine Translation,"

Chunting Zhou
, 
Jiatao Gu
, 
Graham Neubig

","knowledge distillation
non-autoregressive neural machine translation","We systematically examine why knowledge distillation is crucial to the training of non-autoregressive translation (NAT) models, and propose methods to further improve the distilled data to best match the capacity of an NAT model."
Thieves on Sesame Street! Model Extraction of BERT-based APIs,"

Kalpesh Krishna
, 
Gaurav Singh Tomar
, 
Ankur P. Parikh
, 
Nicolas Papernot
, 
Mohit Iyyer

","model extraction
BERT
natural language processing
pretraining language models
model stealing
deep learning security","Outputs of modern NLP APIs on nonsensical text provide strong signals about model internals, allowing adversaries to steal the APIs."
Fast is better than free: Revisiting adversarial training,"

Eric Wong
, 
Leslie Rice
, 
J. Zico Kolter

","adversarial examples
adversarial training
fast gradient sign method","FGSM-based adversarial training, with randomization, works just as well as PGD-based adversarial training: we can use this to train a robust classifier in 6 minutes on CIFAR10, and 12 hours on ImageNet, on a single machine."
DBA: Distributed Backdoor Attacks against Federated Learning,"

Chulin Xie
, 
Keli Huang
, 
Pin-Yu Chen
, 
Bo Li

","distributed backdoor attack
federated learning","We proposed a novel distributed backdoor attack on federated learning and show that it is not only more effective compared with standard centralized attacks, but also harder to be defended by existing robust FL methods"
DeFINE: Deep Factorized Input Token Embeddings for Neural Sequence Modeling,"

Sachin Mehta
, 
Rik Koncel-Kedziorski
, 
Mohammad Rastegari
, 
Hannaneh Hajishirzi

","sequence modeling
input representations
language modeling
word embedding","DeFINE uses a deep, hierarchical, sparse network with new skip connections to learn better word embeddings efficiently. "
Sampling-Free Learning of Bayesian Quantized Neural Networks,"

Jiahao Su
, 
Milan Cvitkovic
, 
Furong Huang

","Bayesian neural networks
Quantized neural networks","We propose Bayesian quantized networks, for which we learn a posterior distribution over their quantized parameters."
Learning to solve the credit assignment problem,"

Benjamin James Lansdell
, 
Prashanth Ravi Prakash
, 
Konrad Paul Kording

","biologically plausible deep learning
node perturbation
REINFORCE
synthetic gradients
feedback alignment",Perturbations can be used to train feedback weights to learn in fully connected and convolutional neural networks
Four Things Everyone Should Know to Improve Batch Normalization,"

Cecilia Summers
, 
Michael J. Dinneen

",batch normalization,Four things that improve batch normalization across all batch sizes
Pseudo-LiDAR++: Accurate Depth for 3D Object Detection in Autonomous Driving,"

Yurong You
, 
Yan Wang
, 
Wei-Lun Chao
, 
Divyansh Garg
, 
Geoff Pleiss
, 
Bharath Hariharan
, 
Mark Campbell
, 
Kilian Q. Weinberger

","pseudo-LiDAR
3D-object detection
stereo depth estimation
autonomous driving",
SlowMo: Improving Communication-Efficient Distributed SGD with Slow Momentum,"

Jianyu Wang
, 
Vinayak Tantia
, 
Nicolas Ballas
, 
Michael Rabbat

","distributed optimization
decentralized training methods
communication-efficient distributed training with momentum
large-scale parallel SGD",SlowMo improves the optimization and generalization performance of communication-efficient decentralized algorithms without sacrificing speed.
MetaPix: Few-Shot Video Retargeting,"

Jessica Lee
, 
Deva Ramanan
, 
Rohit Girdhar

","Meta-learning
Few-shot Learning
Generative Adversarial Networks
Video Retargeting","Video retargeting typically requires large amount of target data to be effective, which may not always be available; we propose a metalearning approach that improves over popular baselines while producing temporally coherent frames."
Learning to Learn by Zeroth-Order Oracle,"

Yangjun Ruan
, 
Yuanhao Xiong
, 
Sashank Reddi
, 
Sanjiv Kumar
, 
Cho-Jui Hsieh

","learning to learn
zeroth-order optimization
black-box adversarial attack",Novel variant of learning to learn framework for zeroth-order optimization that learns both the update rule and the Gaussian sampling rule.
DD-PPO: Learning Near-Perfect PointGoal Navigators from 2.5 Billion Frames,"

Erik Wijmans
, 
Abhishek Kadian
, 
Ari Morcos
, 
Stefan Lee
, 
Irfan Essa
, 
Devi Parikh
, 
Manolis Savva
, 
Dhruv Batra

","autonomous navigation
habitat
embodied AI
pointgoal navigation
reinforcement learning",
PAC Confidence Sets for Deep Neural Networks via Calibrated Prediction,"

Sangdon Park
, 
Osbert Bastani
, 
Nikolai Matni
, 
Insup Lee

","PAC
confidence sets
classification
regression
reinforcement learning",
Precision Gating: Improving Neural Network Efficiency with Dynamic Dual-Precision Activations,"

Yichi Zhang
, 
Ritchie Zhao
, 
Weizhe Hua
, 
Nayun Xu
, 
G. Edward Suh
, 
Zhiru Zhang

","deep learning
neural network
dynamic quantization
dual precision
efficient gating","We propose precision gating (PG), an end-to-end trainable dynamic dual-precision quantization technique for deep neural networks."
Oblique Decision Trees from Derivatives of ReLU Networks,"

Guang-He Lee
, 
Tommi S. Jaakkola

","oblique decision trees
ReLU networks",A novel neural architecture which implicitly realizes (oblique) decision trees.
Span Recovery for Deep Neural Networks with Applications to Input Obfuscation,"

Rajesh Jayaram
, 
David P. Woodruff
, 
Qiuyi Zhang

","Span recovery
low rank neural networks
adversarial attack",We provably recover the span of a deep multi-layered neural network with latent structure and empirically apply efficient span recovery algorithms to attack networks by obfuscating inputs.
Improving Neural Language Generation with Spectrum Control,"

Lingxiao Wang
, 
Jing Huang
, 
Kevin Huang
, 
Ziniu Hu
, 
Guangtao Wang
, 
Quanquan Gu

",,
Learn to Explain Efficiently via Neural Logic Inductive Learning,"

Yuan Yang
, 
Le Song

","inductive logic programming
interpretability
attention",An efficient differentiable ILP model that learns first-order logic rules that can explain the data.
Improved memory in recurrent neural networks with sequential non-normal dynamics,"

Emin Orhan
, 
Xaq Pitkow

","recurrent neural networks
memory
non-normal dynamics","a feedforward, chain-like motif (1->2->3->...) is proposed as a useful inductive bias for better memory in RNNs."
Neural Module Networks for Reasoning over Text,"

Nitish Gupta
, 
Kevin Lin
, 
Dan Roth
, 
Sameer Singh
, 
Matt Gardner

","question answering
compositionality
neural module networks
multi-step reasoning
reading comprehension",This paper extends neural module networks to answer compositional questions against text by introducing differentiable modules that perform reasoning over text and symbols in a probabilistic manner.
Higher-Order Function Networks for Learning Composable 3D Object Representations,"

Eric Mitchell
, 
Selim Engin
, 
Volkan Isler
, 
Daniel D Lee

","computer vision
3d reconstruction
deep learning
representation learning",Neural nets can encode complex 3D objects into the parameters of other (surprisingly small) neural nets
Variational Hetero-Encoder Randomized GANs for Joint Image-Text Modeling,"

Hao Zhang
, 
Bo Chen
, 
Long Tian
, 
Zhengjue Wang
, 
Mingyuan Zhou

","Deep topic model
image generation
text generation
raster-scan-GAN
zero-shot learning","A novel Bayesian deep learning framework that captures and relates hierarchical semantic and visual concepts, performing well on a variety of image and text modeling and generation tasks."
Towards Fast Adaptation of Neural Architectures with Meta Learning,"

Dongze Lian
, 
Yin Zheng
, 
Yintao Xu
, 
Yanxiong Lu
, 
Leyu Lin
, 
Peilin Zhao
, 
Junzhou Huang
, 
Shenghua Gao

","Fast adaptation
Meta learning
NAS",A meta-learning method for fast adaptation of neural architectures.
Graph Constrained Reinforcement Learning for Natural Language Action Spaces,"

Prithviraj Ammanabrolu
, 
Matthew Hausknecht

","natural language generation
deep reinforcement learning
knowledge graphs
interactive fiction","We present KG-A2C, a reinforcement learning agent that builds a dynamic knowledge graph while exploring and generates natural language using a template-based action space - outperforming all current agents on a wide set of text-based games."
"Prediction, Consistency, Curvature: Representation Learning for Locally-Linear Control","

Nir Levine
, 
Yinlam Chow
, 
Rui Shu
, 
Ang Li
, 
Mohammad Ghavamzadeh
, 
Hung Bui

","Embed-to-Control
Representation Learning
Stochastic Optimal Control
VAE
iLQR",Learning embedding for control with high-dimensional observations
Augmenting Non-Collaborative Dialog Systems with Explicit Semantic and Strategic Dialog History,"

Yiheng Zhou
, 
Yulia Tsvetkov
, 
Alan W Black
, 
Zhou Yu

","dialog systems
history tracking",
BERTScore: Evaluating Text Generation with BERT,"

Tianyi Zhang*
, 
Varsha Kishore*
, 
Felix Wu*
, 
Kilian Q. Weinberger
, 
Yoav Artzi

","Metric
Evaluation
Contextual Embedding
Text Generation","We propose BERTScore, an automatic evaluation metric for text generation, which correlates better with human judgments and provides stronger model selection performance than existing metrics."
Neural Execution of Graph Algorithms,"

Petar Veličković
, 
Rex Ying
, 
Matilde Padovano
, 
Raia Hadsell
, 
Charles Blundell

","Graph Neural Networks
Graph Algorithms
Learning to Execute
Program Synthesis
Message Passing Neural Networks
Deep Learning","We supervise graph neural networks to imitate intermediate and step-wise outputs of classical graph algorithms, recovering highly favourable insights."
On the Need for Topology-Aware Generative Models for Manifold-Based Defenses,"

Uyeong Jang
, 
Susmit Jha
, 
Somesh Jha

","Manifold-based Defense
Robust Learning
Adversarial Attacks",
FSNet: Compression of Deep Convolutional Neural Networks by Filter Summary,"

Yingzhen Yang
, 
Jiahui Yu
, 
Nebojsa Jojic
, 
Jun Huan
, 
Thomas S. Huang

","Compression of Convolutional Neural Networks
Filter Summary CNNs
Weight Sharing",We present a novel method of compression of deep Convolutional Neural Networks (CNNs) by weight sharing through a new representation of convolutional filters.
Capsules with Inverted Dot-Product Attention Routing,"

Yao-Hung Hubert Tsai
, 
Nitish Srivastava
, 
Hanlin Goh
, 
Ruslan Salakhutdinov

","capsule networks
routing
attention","We present a new routing method for Capsule networks, and it performs at-par with ResNet-18 on CIFAR-10/ CIFAR-100."
Composition-based Multi-Relational Graph Convolutional Networks,"

Shikhar Vashishth
, 
Soumya Sanyal
, 
Vikram Nitin
, 
Partha Talukdar

","Graph Convolutional Networks
Multi-relational Graphs
Knowledge Graph Embeddings
Link Prediction",A Composition-based Graph Convolutional framework for multi-relational graphs.
Gradient-Based Neural DAG Learning,"

Sébastien Lachapelle
, 
Philippe Brouillard
, 
Tristan Deleu
, 
Simon Lacoste-Julien

","Structure Learning
Causality
Density estimation",We are proposing a new score-based approach to structure/causal learning leveraging neural networks and a recent continuous constrained formulation to this problem
The Local Elasticity of Neural Networks,"

Hangfeng He
, 
Weijie Su

",,
Composing Task-Agnostic Policies with Deep Reinforcement Learning,"

Ahmed H. Qureshi
, 
Jacob J. Johnson
, 
Yuzhe Qin
, 
Taylor Henderson
, 
Byron Boots
, 
Michael C. Yip

","composition
transfer learning
deep reinforcement learning",We propose a novel reinforcement learning-based skill transfer and composition method that takes the agent's primitive policies to solve unseen tasks.
Convergence of Gradient Methods on Bilinear Zero-Sum Games,"

Guojun Zhang
, 
Yaoliang Yu

","GAN
gradient algorithm
convergence
min-max optimization
bilinear game","We systematically analyze the convergence of popular gradient algorithms for solving bilinear games, with both simultaneous and alternating updates."
Discovering Motor Programs by Recomposing Demonstrations,"

Tanmay Shankar
, 
Shubham Tulsiani
, 
Lerrel Pinto
, 
Abhinav Gupta

","Learning from Demonstration
Imitation Learning
Motor Primitives","We learn a space of motor primitives from unannotated robot demonstrations, and show these primitives are semantically meaningful and can be composed for new robot tasks."
Learning from Explanations with Neural Execution Tree,"

Ziqi Wang*
, 
Yujia Qin*
, 
Wenxuan Zhou
, 
Jun Yan
, 
Qinyuan Ye
, 
Leonardo Neves
, 
Zhiyuan Liu
, 
Xiang Ren

",,
Jelly Bean World: A Testbed for Never-Ending Learning,"

Emmanouil Antonios Platanios
, 
Abulhair Saparov
, 
Tom Mitchell

",,
Coherent Gradients: An Approach to Understanding Generalization in Gradient Descent-based Optimization,"

Satrajit Chatterjee

","generalization
deep learning",We propose a hypothesis for why gradient descent generalizes based on how per-example gradients interact with each other.
Probabilistic Connection Importance Inference and Lossless Compression of Deep Neural Networks,"

Xin Xing
, 
Long Sha
, 
Pengyu Hong
, 
Zuofeng Shang
, 
Jun S. Liu

",,
MEMO: A Deep Network for Flexible Combination of Episodic Memories,"

Andrea Banino
, 
Adrià Puigdomènech Badia
, 
Raphael Köster
, 
Martin J. Chadwick
, 
Vinicius Zambaldi
, 
Demis Hassabis
, 
Caswell Barry
, 
Matthew Botvinick
, 
Dharshan Kumaran
, 
Charles Blundell

","Memory Augmented Neural Networks
Deep Learning",A memory architecture that support inferential reasoning.
Economy Statistical Recurrent Units For Inferring Nonlinear Granger Causality,"

Saurabh Khanna
, 
Vincent Y. F. Tan

","Recurrent neural networks
Granger causality
Causal inference
Statistical Recurrent Unit",A new recurrent neural network architecture for detecting pairwise Granger causality between nonlinearly interacting time series. 
Bayesian Meta Sampling for Fast Uncertainty Adaptation,"

Zhenyi Wang
, 
Yang Zhao
, 
Ping Yu
, 
Ruiyi Zhang
, 
Changyou Chen

","Bayesian Sampling
Uncertainty Adaptation
Meta Learning
Variational Inference",We proposed a Bayesian meta sampling method for adapting the model uncertainty in meta learning
Non-Autoregressive Dialog State Tracking,"

Hung Le
, 
Richard Socher
, 
Steven C.H. Hoi

","task-oriented
dialogues
dialogue state tracking
non-autoregressive","We propose the first non-autoregressive neural model for Dialogue State Tracking (DST), achieving the SOTA accuracy (49.04%) on MultiWOZ2.1 benchmark, and reducing inference latency by an order of magnitude."
Extreme Tensoring for Low-Memory Preconditioning,"

Xinyi Chen
, 
Naman Agarwal
, 
Elad Hazan
, 
Cyril Zhang
, 
Yi Zhang

","optimization
deep learning",
RNNs Incrementally Evolving on an Equilibrium Manifold: A Panacea for Vanishing and Exploding Gradients?,"

Anil Kag
, 
Ziming Zhang
, 
Venkatesh Saligrama

","novel recurrent neural architectures
learning representations of outputs or states",Incremental-RNNs resolves exploding/vanishing gradient problem by updating state vectors based on difference between previous state and that predicted by an ODE.
The Early Phase of Neural Network Training,"

Jonathan Frankle
, 
David J. Schwab
, 
Ari S. Morcos

","empirical
learning dynamics
lottery tickets
critical periods
early","We thoroughly investigate neural network learning dynamics over the early phase of training, finding that these changes are crucial and difficult to approximate, though extended pretraining can recover them."
NeurQuRI: Neural Question Requirement Inspector for Answerability Prediction in Machine Reading Comprehension,"

Seohyun Back
, 
Sai Chetan Chinthakindi
, 
Akhil Kedia
, 
Haejun Lee
, 
Jaegul Choo

","Question Answering
Machine Reading Comprehension
Answerability Prediction
Neural Checklist","We propose a neural question requirement inspection model called NeurQuRI that extracts a list of conditions from the question, each of which should be satisfied by the candidate answer generated by an MRC model."
Towards Stabilizing Batch Statistics in Backward Propagation of Batch Normalization,"

Junjie Yan
, 
Ruosi Wan
, 
Xiangyu Zhang
, 
Wei Zhang
, 
Yichen Wei
, 
Jian Sun

","batch normalization
small batch size
backward propagation",We propose a novel normalization method to handle small batch size cases.
Single Episode Policy Transfer in Reinforcement Learning,"

Jiachen Yang
, 
Brenden Petersen
, 
Hongyuan Zha
, 
Daniel Faissol

","transfer learning
reinforcement learning","Single episode policy transfer in a family of environments with related dynamics, via optimized probing for rapid inference of latent variables and immediate execution of a universal policy."
Generalization through Memorization: Nearest Neighbor Language Models,"

Urvashi Khandelwal
, 
Omer Levy
, 
Dan Jurafsky
, 
Luke Zettlemoyer
, 
Mike Lewis

","language models
k-nearest neighbors","We extend a pre-trained neural language model by linearly interpolating it with a k-nearest neighbors model, achieving new state-of-the-art results on Wikitext-103 with no additional training."
Transformer-XH: Multi-Evidence Reasoning with eXtra Hop Attention,"

Chen Zhao
, 
Chenyan Xiong
, 
Corby Rosset
, 
Xia Song
, 
Paul Bennett
, 
Saurabh Tiwary

","Transformer-XH
multi-hop QA
fact verification
extra hop attention
structured modeling","We present Transformer-XH, which upgrades Transformer with eXtra Hop attentions to intrinsically model structured texts in a data driven way. "
Synthesizing Programmatic Policies that Inductively Generalize,"

Jeevana Priya Inala
, 
Osbert Bastani
, 
Zenna Tavares
, 
Armando Solar-Lezama

","Program synthesis
reinforcement learning
inductive generalization",An approach to learn program policies for control tasks that inductively generalize. 
Decoding As Dynamic Programming For Recurrent Autoregressive Models,"

Najam Zaidi
, 
Trevor Cohn
, 
Gholamreza Haffari

",Decoding,Approximate inference using dynamic programming for Autoregressive models.
Deep Double Descent: Where Bigger Models and More Data Hurt,"

Preetum Nakkiran
, 
Gal Kaplun
, 
Yamini Bansal
, 
Tristan Yang
, 
Boaz Barak
, 
Ilya Sutskever

","deep learning
double descent
optimization
SGD
complexity","We demonstrate, and characterize, realistic settings where bigger models are worse, and more data hurts."
Intriguing Properties of Adversarial Training at Scale,"

Cihang Xie
, 
Alan Yuille

","adversarial defense
adversarial machine learning",The first rigor diagnose of large-scale adversarial training on ImageNet
Shifted and Squeezed 8-bit Floating Point format for Low-Precision Training of Deep Neural Networks,"

Leopold Cambier
, 
Anahita Bhiwandiwalla
, 
Ting Gong
, 
Oguz H. Elibol
, 
Mehran Nekuii
, 
Hanlin Tang

","Low-precision training
numerics
deep learning","We propose a novel 8-bit format that eliminates the need for loss scaling, stochastic rounding, and other low precision techniques"
Distributed Bandit Learning: Near-Optimal Regret with Efficient Communication,"

Yuanhao Wang
, 
Jiachen Hu
, 
Xiaoyu Chen
, 
Liwei Wang

","Theory
Bandit Algorithms
Communication Efficiency",
Biologically inspired sleep algorithm for increased generalization and adversarial robustness in deep neural networks,"

Timothy Tadros
, 
Giri Krishnan
, 
Ramyaa Ramyaa
, 
Maxim Bazhenov

","Adversarial Robustness
Generalization
Neural Computing
Deep Learning",We describe a biologically inspired sleep algorithm for increasing an artificial neural network's ability to extract the gist of a training set and exhibit increased robustness to adversarial attacks and general distortions.
A Closer Look at the Optimization Landscapes of Generative Adversarial Networks,"

Hugo Berard
, 
Gauthier Gidel
, 
Amjad Almahairi
, 
Pascal Vincent
, 
Simon Lacoste-Julien

","Deep Learning
Generative models
GANs
Optimization
Visualization","By proposing new visualization techniques we give better insights on GANs optimization in practical settings, we show that GANs on challenging datasets exhibit rotational behavior and do not converge to Nash-Equilibria"
On the Global Convergence of Training Deep Linear ResNets,"

Difan Zou
, 
Philip M. Long
, 
Quanquan Gu

",,"Under certain condition on the input and output linear transformations, both GD and SGD can achieve global convergence for training deep linear ResNets."
Towards a Deep Network Architecture for Structured Smoothness,"

Haroun Habeeb
, 
Oluwasanmi Koyejo

",,A feedforward layer to incorporate structured smoothness into a deep learning model
Revisiting Self-Training for Neural Sequence Generation,"

Junxian He
, 
Jiatao Gu
, 
Jiajun Shen
, 
Marc'Aurelio Ranzato

","self-training
semi-supervised learning
neural sequence generatioin","We revisit self-training as a semi-supervised learning method for neural sequence generation problem, and show that self-training can be quite successful with injected noise."
Denoising and Regularization via Exploiting the Structural Bias of Convolutional Generators,"

Reinhard Heckel and Mahdi Soltanolkotabi

","theory for deep learning
convolutional network
deep image prior
deep decoder
dynamics of gradient descent
overparameterization",
Variational Autoencoders for Highly Multivariate Spatial Point Processes Intensities,"

Baichuan Yuan
, 
Xiaowei Wang
, 
Jianxin Ma
, 
Chang Zhou
, 
Andrea L. Bertozzi
, 
Hongxia Yang

","VAE
collaborative filtering
recommender systems
spatial point process",
Model-Augmented Actor-Critic: Backpropagating through Paths,"

Ignasi Clavera
, 
Yao Fu
, 
Pieter Abbeel

","reinforcement learning
model-based
actor-critic
pathwise",Policy gradient through backpropagation through time using learned models and Q-functions. SOTA results in reinforcement learning benchmark environments.
LambdaNet: Probabilistic Type Inference using Graph Neural Networks,"

Jiayi Wei
, 
Maruth Goyal
, 
Greg Durrett
, 
Isil Dillig

","Type inference
Graph neural network
Programming languages
Pointer network","We have presented LambdaNet, a neural architecture for type inference that combines the strength of explicit program analysis with graph neural networks."
